U,L,E_Nminus1,E_N,charge_gap,chi_c,spin_gap,timestamp
1.0,120,-124.6207962094,-124.1560537548,0.4647424546,2.1517293935,0.0414956766,2026-07-15T11:45:07
1.0,160,-166.2324442809,-165.7614369992,0.4710072816,2.1231094273,0.0303126332,2026-07-15T12:40:09
