defect_strength,i,j,distance,correlation,timestamp
1.5,0,31,31,-0.0049748456,2026-07-16T16:50:43
1.5,0,32,32,0.0031614196,2026-07-16T16:50:43
1.5,0,33,33,-0.0052418861,2026-07-16T16:50:43
1.5,0,34,34,0.0036074695,2026-07-16T16:50:43
1.5,0,35,35,-0.0054075536,2026-07-16T16:50:43
1.5,0,36,36,0.0038543969,2026-07-16T16:50:43
1.5,0,37,37,-0.0054873865,2026-07-16T16:50:43
1.5,0,38,38,0.0039868074,2026-07-16T16:50:43
1.5,0,39,39,-0.0055078138,2026-07-16T16:50:43
1.5,0,40,40,0.0040381137,2026-07-16T16:50:43
1.5,0,41,41,-0.0054753690,2026-07-16T16:50:43
1.5,0,42,42,0.0040233993,2026-07-16T16:50:43
1.5,0,43,43,-0.0053928361,2026-07-16T16:50:43
1.5,0,44,44,0.0039502921,2026-07-16T16:50:43
1.5,0,45,45,-0.0052664345,2026-07-16T16:50:43
1.5,0,46,46,0.0038239787,2026-07-16T16:50:43
1.5,0,47,47,-0.0050996589,2026-07-16T16:50:43
1.5,0,48,48,0.0036459861,2026-07-16T16:50:43
1.5,0,49,49,-0.0048933474,2026-07-16T16:50:43
1.5,0,50,50,0.0034148715,2026-07-16T16:50:43
1.5,0,51,51,-0.0046454189,2026-07-16T16:50:43
1.5,0,52,52,0.0031242051,2026-07-16T16:50:43
1.5,0,53,53,-0.0043503798,2026-07-16T16:50:43
1.5,0,54,54,0.0027603393,2026-07-16T16:50:43
1.5,0,55,55,-0.0039984339,2026-07-16T16:50:43
1.5,0,56,56,0.0022914126,2026-07-16T16:50:43
1.5,0,57,57,-0.0035759034,2026-07-16T16:50:43
1.5,0,58,58,0.0016353036,2026-07-16T16:50:43
1.5,0,59,59,-0.0031417969,2026-07-16T16:50:43
