defect_strength,delta_s,A,C,timestamp
0.5,0.0956421628,5.738530,0.479309,2026-07-16T11:37:45
1.5,0.0137956665,0.827740,0.482635,2026-07-16T11:40:16
0.8,0.0773721271,4.642328,0.481096,2026-07-16T11:49:34
1.0,0.0523203811,3.139223,0.482060,2026-07-16T11:56:47
1.2,0.0300311265,1.801868,0.482524,2026-07-16T12:04:13
