L,q_index,q_value,S_q,log_q,log_S_q,timestamp
20,0,0.3141592654,0.0286647042,-1.1578552071,-3.5520887328318,2026-07-14T09:39:15
20,1,0.6283185307,0.0586497212,-0.4647080266,-2.8361724574623195,2026-07-14T09:39:15
20,2,0.9424777961,0.0899068442,-0.0592429185,-2.408981208882269,2026-07-14T09:39:15
20,3,1.2566370614,0.1230855883,0.2284391540,-2.094875325723259,2026-07-14T09:39:15
20,4,1.5707963268,0.1592687710,0.4515827053,-1.8371621203654593,2026-07-14T09:39:15
20,5,1.8849555922,0.2004692394,0.6339042621,-1.6070944632143214,2026-07-14T09:39:15
20,6,2.1991148575,0.2506591498,0.7880549419,-1.3836612315237988,2026-07-14T09:39:15
20,7,2.5132741229,0.3192540080,0.9215863345,-1.1417682296659748,2026-07-14T09:39:15
20,8,2.8274333882,0.4381384568,1.0393693702,-0.8252203071795166,2026-07-14T09:39:15
20,9,3.1415926536,0.6944729912,1.1447298858,-0.36460200713885493,2026-07-14T09:39:15
40,0,0.1570796327,0.0138403304,-1.8510023877,-4.280168454732482,2026-07-14T09:40:42
40,1,0.3141592654,0.0282601962,-1.1578552071,-3.5663009601823044,2026-07-14T09:40:42
40,2,0.4712388980,0.0429740489,-0.7523900990,-3.147158858816936,2026-07-14T09:40:42
40,3,0.6283185307,0.0579307747,-0.4647080266,-2.8485065208457963,2026-07-14T09:40:42
40,4,0.7853981634,0.0732185796,-0.2415644753,-2.614306070295948,2026-07-14T09:40:42
40,5,0.9424777961,0.0888869867,-0.0592429185,-2.4203895287665183,2026-07-14T09:40:42
40,6,1.0995574288,0.1050049005,0.0949077614,-2.2537482584630792,2026-07-14T09:40:42
40,7,1.2566370614,0.1216843964,0.2284391540,-2.106324500826051,2026-07-14T09:40:42
40,8,1.4137166941,0.1390815479,0.3462221896,-1.9726948425339674,2026-07-14T09:40:42
40,9,1.5707963268,0.1574012722,0.4515827053,-1.848956860329389,2026-07-14T09:40:42
40,10,1.7278759595,0.1769168526,0.5468928851,-1.7320754163796408,2026-07-14T09:40:42
40,11,1.8849555922,0.1980034043,0.6339042621,-1.6194710550199252,2026-07-14T09:40:42
40,12,2.0420352248,0.2211966652,0.7139469698,-1.5087030855237864,2026-07-14T09:40:42
40,13,2.1991148575,0.2473049289,0.7880549419,-1.3971331736623234,2026-07-14T09:40:42
40,14,2.3561944902,0.2776233817,0.8570478134,-1.2814898257380494,2026-07-14T09:40:42
40,15,2.5132741229,0.3143994056,0.9215863345,-1.1570911091296332,2026-07-14T09:40:42
40,16,2.6703537556,0.3620384695,0.9822109564,-1.0160048033703828,2026-07-14T09:40:42
40,17,2.8274333882,0.4307876958,1.0393693702,-0.8421398954833738,2026-07-14T09:40:42
40,18,2.9845130209,0.5539774377,1.0934365915,-0.5906313193226627,2026-07-14T09:40:42
40,19,3.1415926536,0.8074598806,1.1447298858,-0.21386190855773393,2026-07-14T09:40:42
100,0,0.0628318531,0.0054008560,-2.7672931196,-5.221197821267055,2026-07-14T09:42:59
100,1,0.1256637061,0.0108676462,-2.0741459390,-4.521965146338337,2026-07-14T09:42:59
100,2,0.1884955592,0.0165778328,-1.6686808309,-4.099688847845349,2026-07-14T09:42:59
100,3,0.2513274123,0.0223508068,-1.3809987585,-3.800892860633293,2026-07-14T09:42:59
100,4,0.3141592654,0.0281137336,-1.1578552071,-3.57149708355719,2026-07-14T09:42:59
100,5,0.3769911184,0.0338881926,-0.9755336504,-3.3846886274196963,2026-07-14T09:42:59
100,6,0.4398229715,0.0397050934,-0.8213829705,-3.226275802633737,2026-07-14T09:42:59
100,7,0.5026548246,0.0455799821,-0.6878515779,-3.088286648302275,2026-07-14T09:42:59
100,8,0.5654866776,0.0515159777,-0.5700685422,-2.9658632730206014,2026-07-14T09:42:59
100,9,0.6283185307,0.0575104783,-0.4647080266,-2.8557881161664875,2026-07-14T09:42:59
100,10,0.6911503838,0.0635595838,-0.3693978468,-2.7557774862404263,2026-07-14T09:42:59
100,11,0.7539822369,0.0696607706,-0.2823864698,-2.66411795155187,2026-07-14T09:42:59
100,12,0.8168140899,0.0758140884,-0.2023437621,-2.5794711401996713,2026-07-14T09:42:59
100,13,0.8796459430,0.0820220069,-0.1282357900,-2.5007676907559175,2026-07-14T09:42:59
100,14,0.9424777961,0.0882892580,-0.0592429185,-2.427136831691339,2026-07-14T09:42:59
100,15,1.0053096491,0.0946224994,0.0052956027,-2.357859994522181,2026-07-14T09:42:59
100,16,1.0681415022,0.1010298691,0.0659202245,-2.2923390718493026,2026-07-14T09:42:59
100,17,1.1309733553,0.1075205433,0.1230786383,-2.2300733495971126,2026-07-14T09:42:59
100,18,1.1938052084,0.1141045143,0.1771458596,-2.170640458060494,2026-07-14T09:42:59
100,19,1.2566370614,0.1207924970,0.2284391540,-2.1136811060898637,2026-07-14T09:42:59
100,20,1.3194689145,0.1275958174,0.2772293181,-2.0588876874990265,2026-07-14T09:42:59
100,21,1.3823007676,0.1345266577,0.3237493338,-2.005992900774582,2026-07-14T09:42:59
100,22,1.4451326207,0.1415982076,0.3682010964,-1.9547617561107542,2026-07-14T09:42:59
100,23,1.5079644737,0.1488248132,0.4107607108,-1.9049854148055092,2026-07-14T09:42:59
100,24,1.5707963268,0.1562222286,0.4515827053,-1.8564757431006111,2026-07-14T09:42:59
100,25,1.6336281799,0.1638081143,0.4908034184,-1.8090595709443384,2026-07-14T09:42:59
100,26,1.6964600329,0.1716024026,0.5285437464,-1.762575090816529,2026-07-14T09:42:59
