U,L,E_Nminus1,E_N,charge_gap,chi_c,spin_gap,alpha_c_estimate,alpha_s_estimate,status,timestamp
0.5,20,-22.4548956877,-22.3592398891,0.0956557986,10.4541493040,0.2677116539,-999.000000,-999.000000,OK,2026-07-14T14:00:49
0.5,40,-45.5665508801,-45.3961373238,0.1704135563,5.8680777632,0.1374357336,-0.833116,-0.961923,OK,2026-07-14T14:08:25
0.5,60,-68.6354687948,-68.4390936486,0.1963751462,5.0922941078,0.0920750598,-0.673920,-0.970472,OK,2026-07-14T14:24:18
0.5,80,-91.6924775703,-91.4829047118,0.2095728584,4.7716102529,0.0688971510,-0.575845,-0.977859,OK,2026-07-14T14:46:12
1.0,20,-20.4797232483,-20.1503896146,0.3293336336,3.0364344783,0.2430342505,-999.000000,-999.000000,OK,2026-07-14T14:47:41
1.0,40,-41.3558136792,-40.9467441591,0.4090695202,2.4445722566,0.1255579289,-0.312796,-0.952807,OK,2026-07-14T14:55:01
1.0,60,-62.1853900699,-61.7484533357,0.4369367341,2.2886608561,0.0844336009,-0.263312,-0.961312,OK,2026-07-14T15:07:55
